ticker,parsed_expiry,parsed_strike,parsed_type,total_premium,total_size,open_interest
SPY,,50,PUT,3024.00,1004,0
SPY,,60,PUT,35.00,7,0
SPY,,80,PUT,18.00,1,0
SPY,,100,PUT,66.00,2,0
SPY,,105,PUT,14.00,1,0
SPY,,150,PUT,5082.00,166,0
SPY,,155,PUT,11100.00,100,0
SPY,,180,PUT,339.00,3,0
SPY,,185,PUT,50.00,1,0
SPY,,200,CALL,3920650.0000,80,0
SPY,,200,PUT,6066.00,86,0
SPY,,210,PUT,26.00,26,0
SPY,,220,PUT,280.00,4,0
SPY,,245,PUT,5106.00,429,0
SPY,,250,PUT,905.00,73,0
SPY,,265,PUT,3785.00,75,0
SPY,,270,PUT,363.00,1,0
SPY,,275,CALL,165700.0000,4,0
SPY,,275,PUT,984.00,18,0
SPY,,280,PUT,7590.00,60,0
SPY,,290,CALL,80200.0000,2,0
SPY,,290,PUT,9006.00,59,0
SPY,,295,PUT,4892.00,31,0
SPY,,300,CALL,237150.0000,6,0
SPY,,300,PUT,7693.00,74,0
SPY,,305,PUT,449.00,7,0
SPY,,310,PUT,35871.00,652,0
SPY,,315,PUT,1502.00,22,0
SPY,,320,PUT,1132.00,15,0
SPY,,325,PUT,660.00,8,0
SPY,,330,PUT,571.00,20,0
SPY,,335,PUT,2608.00,376,0
SPY,,340,PUT,54685.00,335,0
SPY,,345,PUT,7133.00,116,0
SPY,,350,CALL,109150.0000,3,0
SPY,,350,PUT,18166.00,190,0
SPY,,355,CALL,33310.0000,1,0
SPY,,355,PUT,10120.00,122,0
SPY,,360,CALL,32800.0000,1,0
SPY,,360,PUT,794.00,37,0
SPY,,365,CALL,66298.0000,2,0
SPY,,365,PUT,1336.00,61,0
SPY,,370,CALL,97500.00,3,0
SPY,,370,PUT,10642.00,76,0
SPY,,375,PUT,5232.00,62,0
SPY,,380,PUT,5294.00,51,0
SPY,,385,PUT,5386.00,52,0
SPY,,390,PUT,1139.00,3,0
SPY,,395,CALL,292725.00,9,0
SPY,,395,PUT,3225.00,185,0
SPY,,400,CALL,896681.00,31,0
SPY,,400,PUT,2095095.00,17738,0
SPY,,405,PUT,8002.00,322,0
SPY,,410,CALL,171521.00,6,0
SPY,,410,PUT,15318.00,316,0
SPY,,415,PUT,12645.00,450,0
SPY,,420,CALL,108557.00,4,0
SPY,,420,PUT,8250.00,105,0
SPY,,425,PUT,7194.00,62,0
SPY,,430,PUT,22490.00,165,0
SPY,,435,PUT,24684.00,1837,0
SPY,,440,CALL,24800.00,1,0
SPY,,440,PUT,9907.00,107,0
SPY,,445,PUT,26014.00,123,0
SPY,,450,CALL,395493.00,16,0
SPY,,450,PUT,24044.00,135,0
SPY,,455,PUT,80935.00,737,0
SPY,,460,CALL,96326.00,4,0
SPY,,460,PUT,26801.00,349,0
SPY,,465,CALL,423980.00,17,0
SPY,,465,PUT,6346.00,80,0
SPY,,470,PUT,19493.00,139,0
SPY,,475,CALL,513945.00,22,0
SPY,,475,PUT,47642.00,520,0
SPY,,480,PUT,4455015.00,18107,0
SPY,,485,PUT,50971.00,207,0
SPY,,490,CALL,40000.00,2,0
SPY,,490,PUT,62944.00,357,0
SPY,,495,CALL,239534.00,12,0
SPY,,495,PUT,62818.00,205,0
SPY,,500,CALL,2201471.00,112,0
SPY,,500,PUT,721896.00,3932,0
SPY,,505,CALL,36934.00,2,0
SPY,,505,PUT,137973.00,455,0
SPY,,507,PUT,102.00,1,0
SPY,,508,CALL,55188.00,3,0
SPY,,510,CALL,1398215.00,70,0
SPY,,510,PUT,60882.00,335,0
SPY,,515,CALL,178829.00,10,0
SPY,,515,PUT,206389.00,947,0
SPY,,520,CALL,556712.00,31,0
SPY,,520,PUT,53410.00,201,0
SPY,,525,CALL,734270.00,42,0
SPY,,525,PUT,286361.00,3755,0
SPY,,530,CALL,51848.00,3,0
SPY,,530,PUT,61870.00,708,0
SPY,,531,PUT,250.00,2,0
SPY,,535,CALL,95647.00,6,0
SPY,,535,PUT,61703.00,689,0
SPY,,538,PUT,7344.00,54,0
SPY,,540,CALL,178153.00,11,0
SPY,,540,PUT,82072.00,466,0
SPY,,545,CALL,327020.00,18,0
SPY,,545,PUT,30191.00,442,0
SPY,,546,PUT,596.00,4,0
SPY,,550,CALL,635465.00,42,0
SPY,,550,PUT,8365193.00,19838,0
SPY,,551,PUT,318.00,2,0
SPY,,554,PUT,166.00,1,0
SPY,,555,CALL,336933.00,23,0
SPY,,555,PUT,55271.00,251,0
SPY,,556,PUT,508.00,3,0
SPY,,560,CALL,179568.00,13,0
SPY,,560,PUT,111235.00,668,0
SPY,,564,PUT,585.00,1,0
SPY,,565,CALL,66990.00,5,0
SPY,,565,PUT,63982.00,335,0
SPY,,566,PUT,384.00,2,0
SPY,,567,PUT,10530.00,54,0
SPY,,568,PUT,609.00,1,0
SPY,,570,CALL,464001.00,36,0
SPY,,570,PUT,106965.00,329,0
SPY,,572,PUT,208.00,1,0
SPY,,574,PUT,23.00,1,0
SPY,,575,CALL,176510.00,13,0
SPY,,575,PUT,128104.00,659,0
SPY,,576,PUT,138.00,6,0
SPY,,580,CALL,447538.00,37,0
SPY,,580,PUT,416770.00,2706,0
SPY,,581,PUT,200.00,2,0
SPY,,582,PUT,606.00,9,0
SPY,,583,PUT,277.00,2,0
SPY,,584,PUT,258.00,1,0
SPY,,585,CALL,44839.00,4,0
SPY,,585,PUT,506528.00,724,0
SPY,,586,PUT,360.00,7,0
SPY,,587,CALL,103300.00,10,0
SPY,,588,PUT,119.00,1,0
SPY,,589,CALL,103300.00,10,0
SPY,,589,PUT,771.00,1,0
SPY,,590,CALL,944703.00,79,0
SPY,,590,PUT,339680.00,1107,0
SPY,,595,CALL,1393951.00,93,0
SPY,,595,PUT,98924.00,371,0
SPY,,597,CALL,28965.00,3,0
SPY,,597,PUT,36.00,1,0
SPY,,598,PUT,1431.00,2,0
SPY,,599,PUT,176.00,2,0
SPY,,600,CALL,1421809.00,136,0
SPY,,600,PUT,3539031.00,7747,0
SPY,,601,PUT,1544.00,22,0
SPY,,602,CALL,9988.00,1,0
SPY,,604,CALL,8900.00,1,0
SPY,,604,PUT,149.00,1,0
SPY,,605,CALL,603888.00,50,0
SPY,,605,PUT,209353.00,951,0
SPY,,606,PUT,10465.00,65,0
SPY,,607,PUT,163.00,1,0
SPY,,608,PUT,5951.00,145,0
SPY,,609,PUT,5292.00,126,0
SPY,,610,CALL,1866271.00,147,0
SPY,,610,PUT,964774.00,4802,0
SPY,,611,PUT,17512.00,155,0
SPY,,612,CALL,23716.00,3,0
SPY,,612,PUT,3756.00,59,0
SPY,,613,PUT,2840.00,60,0
SPY,,615,CALL,577053.00,70,0
SPY,,615,PUT,2727815.00,2489,0
SPY,,616,PUT,163.00,3,0
SPY,,617,PUT,29568.00,149,0
SPY,,618,PUT,3712.00,13,0
SPY,,619,PUT,204.00,1,0
SPY,,620,CALL,857736.00,93,0
SPY,,620,PUT,2160498.00,3850,0
SPY,,621,CALL,10620.00,1,0
SPY,,621,PUT,16763.00,314,0
SPY,,622,PUT,65655.00,189,0
SPY,,623,PUT,5694.00,178,0
SPY,,624,PUT,2722.00,7,0
SPY,,625,CALL,408566.00,47,0
SPY,,625,PUT,1161346.00,5871,0
SPY,,626,PUT,16945.00,204,0
SPY,,627,PUT,43220.00,33,0
SPY,,628,PUT,54061.00,661,0
SPY,,629,PUT,11355.00,108,0
SPY,,630,CALL,2706333.00,431,0
SPY,,630,PUT,1421413.00,4433,0
SPY,,631,PUT,3365.00,82,0
SPY,,632,PUT,6583.00,85,0
SPY,,633,PUT,34760.00,135,0
SPY,,634,CALL,13430.00,2,0
SPY,,634,PUT,4516.00,29,0
SPY,,635,CALL,955903.00,172,0
SPY,,635,PUT,1267794.00,6402,0
SPY,,636,CALL,3627506.00,698,0
SPY,,636,PUT,6411.00,41,0
SPY,,637,PUT,11241.00,312,0
SPY,,638,PUT,21832.00,92,0
SPY,,639,CALL,15258.00,3,0
SPY,,639,PUT,50249.00,161,0
SPY,,640,CALL,10559860.00,1980,0
SPY,,640,PUT,3463145.00,8433,0
SPY,,641,PUT,26797.00,71,0
SPY,,642,CALL,19618.00,4,0
SPY,,642,PUT,13888.00,54,0
SPY,,643,PUT,74149.00,337,0
SPY,,644,CALL,3083546.00,700,0
SPY,,644,PUT,17658.00,95,0
SPY,,645,CALL,1626101.00,322,0
SPY,,645,PUT,778405.00,5355,0
SPY,,646,CALL,69310.00,14,0
SPY,,646,PUT,49014.00,205,0
SPY,,647,CALL,883151.00,201,0
SPY,,647,PUT,20193.00,110,0
SPY,,648,PUT,31560.00,262,0
SPY,,649,PUT,24794.00,203,0
SPY,,650,CALL,5275751.00,904,0
SPY,,650,PUT,9971595.00,21776,0
SPY,,651,CALL,110574.00,28,0
SPY,,651,PUT,261932.00,652,0
SPY,,652,CALL,43230.00,12,0
SPY,,652,PUT,306578.00,1528,0
SPY,,653,CALL,114366.00,25,0
SPY,,653,PUT,46529.00,1726,0
SPY,,654,CALL,10107.00,3,0
SPY,,654,PUT,285118.00,7340,0
SPY,,655,CALL,1254825.00,330,0
SPY,,655,PUT,6455506.00,17915,0
SPY,,656,CALL,40652.00,12,0
SPY,,656,PUT,44638.00,667,0
SPY,,657,CALL,33752.00,11,0
SPY,,657,PUT,212558.00,1737,0
SPY,,658,CALL,38668.00,13,0
SPY,,658,PUT,33954.00,598,0
SPY,,659,CALL,35232.00,11,0
SPY,,659,PUT,166268.00,897,0
SPY,,660,CALL,2474748.00,626,0
SPY,,660,PUT,5802162.00,11457,0
SPY,,661,CALL,183211.00,60,0
SPY,,661,PUT,213289.00,1318,0
SPY,,662,CALL,105731.00,39,0
SPY,,662,PUT,350769.00,3633,0
SPY,,663,CALL,728156.00,257,0
SPY,,663,PUT,276192.00,1491,0
SPY,,664,CALL,133947.00,50,0
SPY,,664,PUT,219077.00,1829,0
SPY,,665,CALL,2367513.00,655,0
SPY,,665,PUT,2309662.00,10542,0
SPY,,666,CALL,158814.00,49,0
SPY,,666,PUT,177614.00,12393,0
SPY,,667,CALL,341534.00,149,0
SPY,,667,PUT,137824.00,6319,0
SPY,,668,CALL,64713.00,24,0
SPY,,668,PUT,156381.00,2690,0
SPY,,669,CALL,67461.00,35,0
SPY,,669,PUT,932319.00,6167,0
SPY,,670,CALL,1758313.00,567,0
SPY,,670,PUT,7888658.00,20432,0
SPY,,671,CALL,336397.00,184,0
SPY,,671,PUT,534034.00,10364,0
SPY,,672,CALL,125539.00,74,0
SPY,,672,PUT,1604508.00,7333,0
SPY,,673,CALL,255585.00,122,0
SPY,,673,PUT,1108786.00,27272,0
SPY,,674,CALL,157219.00,109,0
SPY,,674,PUT,752035.00,9794,0
SPY,,675,CALL,3413041.00,1901,0
SPY,,675,PUT,8232884.00,29250,0
SPY,,676,CALL,984124.00,758,0
SPY,,676,PUT,1116819.00,23813,0
SPY,,677,CALL,368883.00,309,0
SPY,,677,PUT,1141465.00,34800,0
SPY,,678,CALL,705399.00,615,0
SPY,,678,PUT,1371146.00,41700,0
SPY,,679,CALL,824103.00,838,0
SPY,,679,PUT,1432116.00,28704,0
SPY,,680,CALL,9987684.00,7857,0
SPY,,680,PUT,11852570.00,68204,0
SPY,,681,CALL,2158564.00,2727,0
SPY,,681,PUT,2104202.00,33918,0
SPY,,682,CALL,7118409.00,9258,0
SPY,,682,PUT,2727816.00,41213,0
SPY,,683,CALL,8524672.00,14183,0
SPY,,683,PUT,4697396.00,114920,0
SPY,,684,CALL,10072699.00,21296,0
SPY,,684,PUT,4905121.00,104077,0
SPY,,685,CALL,20239296.00,40929,0
SPY,,685,PUT,26162142.00,209200,0
SPY,,686,CALL,13561585.00,48455,0
SPY,,686,PUT,16633736.00,230309,0
SPY,,687,CALL,35443185.00,191516,0
SPY,,687,PUT,36645239.00,359082,0
SPY,,688,CALL,45848451.00,378273,0
SPY,,688,PUT,34729717.00,331227,0
SPY,,689,CALL,26490082.00,391462,0
SPY,,689,PUT,17921979.00,142878,0
SPY,,690,CALL,22615810.00,324090,0
SPY,,690,PUT,19888913.00,54051,0
SPY,,691,CALL,3885636.00,132558,0
SPY,,691,PUT,4143513.00,13264,0
SPY,,692,CALL,3020621.00,61645,0
SPY,,692,PUT,3384130.00,7714,0
SPY,,693,CALL,3797557.00,44751,0
SPY,,693,PUT,4140477.00,8673,0
SPY,,694,CALL,1829075.00,22504,0
SPY,,694,PUT,993804.00,1696,0
SPY,,695,CALL,4466254.00,30997,0
SPY,,695,PUT,2755834.00,1869,0
SPY,,696,CALL,1477872.00,14872,0
SPY,,696,PUT,4179028.00,4380,0
SPY,,697,CALL,845965.00,7341,0
SPY,,697,PUT,146239.00,132,0
SPY,,698,CALL,620465.00,7504,0
SPY,,698,PUT,141427.00,98,0
SPY,,699,CALL,751670.00,6894,0
SPY,,699,PUT,38601.00,34,0
SPY,,700,CALL,9715977.00,34071,0
SPY,,700,PUT,1591744.00,887,0
SPY,,701,CALL,650917.00,4575,0
SPY,,701,PUT,16145.00,11,0
SPY,,702,CALL,639100.00,5854,0
SPY,,702,PUT,120657.00,71,0
SPY,,703,CALL,436582.00,8471,0
SPY,,704,CALL,367919.00,5757,0
SPY,,704,PUT,40797.00,23,0
SPY,,705,CALL,2051646.00,8014,0
SPY,,705,PUT,13426360.00,3507,0
SPY,,706,CALL,739112.00,3506,0
SPY,,706,PUT,67215.00,32,0
SPY,,707,CALL,473336.00,1990,0
