ticker,parsed_expiry,parsed_strike,parsed_type,total_premium,total_size,open_interest
SPY,,577,PUT,1.00,1,0
SPY,,578,PUT,1648.00,7,0
SPY,,579,PUT,1.00,1,0
SPY,,580,CALL,1080946.00,96,0
SPY,,580,PUT,801609.00,1843,0
SPY,,581,PUT,34830.00,135,0
SPY,,582,PUT,26204.00,301,0
SPY,,583,PUT,143.00,3,0
SPY,,584,PUT,4569.00,12,0
SPY,,585,CALL,390955.00,36,0
SPY,,585,PUT,180070.00,673,0
SPY,,586,PUT,1559.00,3,0
SPY,,587,CALL,20663.00,2,0
SPY,,587,PUT,12040.00,82,0
SPY,,588,CALL,20454.00,2,0
SPY,,588,PUT,2091.00,1995,0
SPY,,589,PUT,8798.00,1108,0
SPY,,590,CALL,479454.00,41,0
SPY,,590,PUT,464329.00,2135,0
SPY,,592,PUT,10453.00,122,0
SPY,,593,PUT,1180.00,25,0
SPY,,594,PUT,105.00,105,0
SPY,,595,CALL,951296.00,98,0
SPY,,595,PUT,166542.00,1125,0
SPY,,596,PUT,791.00,14,0
SPY,,597,PUT,1016.00,20,0
SPY,,598,CALL,9323.00,1,0
SPY,,598,PUT,7105.00,40,0
SPY,,599,PUT,2854.00,548,0
SPY,,600,CALL,2503653.00,245,0
SPY,,600,PUT,8298397.00,19835,0
SPY,,601,CALL,8887.00,1,0
SPY,,601,PUT,4679.00,10,0
SPY,,602,PUT,6909.00,123,0
SPY,,603,PUT,1931.00,32,0
SPY,,604,CALL,8913.00,1,0
SPY,,604,PUT,32764.00,185,0
SPY,,605,CALL,427924.00,47,0
SPY,,605,PUT,95450.00,771,0
SPY,,606,CALL,8235.00,1,0
SPY,,606,PUT,24448.00,469,0
SPY,,608,CALL,16458.00,2,0
SPY,,608,PUT,5176.00,11,0
SPY,,609,PUT,8279.00,11,0
SPY,,610,CALL,942114.00,112,0
SPY,,610,PUT,891448.00,3909,0
SPY,,611,PUT,7373.00,131,0
SPY,,612,PUT,9151.00,389,0
SPY,,613,PUT,4857.00,756,0
SPY,,614,CALL,23874.00,3,0
SPY,,614,PUT,282.00,24,0
SPY,,615,CALL,1093815.00,141,0
SPY,,615,PUT,863697.00,9687,0
SPY,,616,CALL,9235.00,1,0
SPY,,616,PUT,8273.00,28,0
SPY,,617,CALL,41500.00,5,0
SPY,,617,PUT,2805.00,9,0
SPY,,618,PUT,3450.00,44,0
SPY,,619,PUT,3324.00,46,0
SPY,,620,CALL,1177234.00,143,0
SPY,,620,PUT,1452554.00,3674,0
SPY,,621,PUT,152444.00,4357,0
SPY,,622,PUT,31597.00,186,0
SPY,,623,PUT,4643.00,133,0
SPY,,624,PUT,29405.00,535,0
SPY,,625,CALL,1732891.00,198,0
SPY,,625,PUT,1547528.00,5244,0
SPY,,626,CALL,118894.00,19,0
SPY,,626,PUT,4435.00,39,0
SPY,,627,CALL,9260.00,1,0
SPY,,627,PUT,21442.00,91,0
SPY,,628,CALL,1948298.00,212,0
SPY,,628,PUT,32432.00,203,0
SPY,,629,CALL,316288.00,50,0
SPY,,629,PUT,9456.00,151,0
SPY,,630,CALL,2574112.00,421,0
SPY,,630,PUT,762544.00,3146,0
SPY,,631,CALL,16905.00,3,0
SPY,,631,PUT,20205.00,248,0
SPY,,632,PUT,11125.00,87,0
SPY,,633,CALL,235501.00,41,0
SPY,,633,PUT,4318.00,44,0
SPY,,634,PUT,56489.00,90,0
SPY,,635,CALL,738181.00,135,0
SPY,,635,PUT,1189233.00,5226,0
SPY,,636,PUT,30206.00,85,0
SPY,,637,CALL,7350.00,1,0
SPY,,637,PUT,52788.00,160,0
