symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-03-11,1,2800,6842.4,CALL,1,3,0.9999949995371535,-5.36332866149356e-13,0.0019999994451314358,-0.0,396820.0
SPX,2026-03-11,1,2800,6842.4,PUT,0,19,-1.0,-5.36332866149356e-13,0.0019999994451314358,0.0,0.0
SPX,2026-03-11,1,3000,6842.4,CALL,0,0,0.9999949995371956,-5.36332866149356e-13,0.0020000005548685648,-0.0,0.0
SPX,2026-03-11,1,3000,6842.4,PUT,0,49,-1.0,-5.36332866149356e-13,0.0020000005548685648,0.0,0.0
SPX,2026-03-11,1,3200,6842.4,CALL,0,0,0.99999499953715,-9.291572389842178e-13,0.002,-0.0,0.0
SPX,2026-03-11,1,3200,6842.4,PUT,0,0,-1.0,-9.291572389842178e-13,0.002,0.0,0.0
SPX,2026-03-11,1,3400,6842.4,CALL,0,0,0.9999949995371731,-7.290704397253987e-13,0.0019999966707886126,-0.0,0.0
SPX,2026-03-11,1,3400,6842.4,PUT,0,62,-1.0,-7.290704397253987e-13,0.0019999966707886126,0.0,0.0
SPX,2026-03-11,1,3600,6842.4,CALL,0,0,0.9999949995371696,-1.118478977303085e-12,0.001999996115920048,-0.0,0.0
SPX,2026-03-11,1,3600,6842.4,PUT,0,79,-1.0,-1.118478977303085e-12,0.001999996115920048,0.0,0.0
SPX,2026-03-11,1,3800,6842.4,CALL,0,0,0.9999949995371733,-7.251370492997979e-13,0.001999997225657177,-0.0,0.0
SPX,2026-03-11,1,3800,6842.4,PUT,0,285,-1.0,-7.251370492997979e-13,0.001999997225657177,0.0,0.0
SPX,2026-03-11,1,4000,6842.4,CALL,0,0,0.9999949995371309,-7.324939423902163e-13,0.0019999950061829184,-0.0,0.0
SPX,2026-03-11,1,4000,6842.4,PUT,0,2232,-1.0,-7.324939423902163e-13,0.0019999950061829184,0.0,0.0
SPX,2026-03-11,1,4200,6842.4,CALL,0,0,0.9999949995371938,-7.330038301509997e-13,0.0019999938964457894,-0.0,0.0
SPX,2026-03-11,1,4200,6842.4,PUT,0,5756,-1.0,-7.330038301509997e-13,0.0019999938964457894,0.0,0.0
SPX,2026-03-11,1,4400,6842.4,CALL,0,0,0.9999949995371838,-7.028741578471838e-13,0.0019999805605451088,-0.0,0.0
SPX,2026-03-11,1,4400,6842.4,PUT,0,2298,-1.0,-7.028741578471838e-13,0.0019999805605451088,0.0,0.0
SPX,2026-03-11,1,4600,6842.4,CALL,0,4,0.9999949995372319,-4.671007896759868e-13,0.001999983597959936,-0.0,0.0
SPX,2026-03-11,1,4600,6842.4,PUT,0,613,-1.0,-4.671007896759868e-13,0.001999983597959936,0.0,0.0
SPX,2026-03-11,1,4800,6842.4,CALL,1,1,0.9999949995371954,-7.074837946989261e-13,0.0019999839017014183,-0.0,196830.0
SPX,2026-03-11,1,4800,6842.4,PUT,0,3544,-1.0,-7.074837946989261e-13,0.0019999839017014183,0.0,0.0
SPX,2026-03-11,1,5000,6842.4,CALL,0,0,0.9999949995371868,-3.5382374244213096e-13,0.001999985116667349,-0.0,0.0
SPX,2026-03-11,1,5000,6842.4,PUT,0,2544,-1.0,-3.5382374244213096e-13,0.001999985116667349,0.0,0.0
SPX,2026-03-11,1,5200,6842.4,CALL,0,0,0.9999949995371827,-7.724248329830863e-13,0.0020000293023873772,-0.0,0.0
