symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-03-06,1,2200,6897.45,CALL,1,3,0.9999999999996942,8.903829428444802e-13,0.002000123842045358,-0.0,453925.0
SPX,2026-03-06,1,2200,6897.45,PUT,2,1,-1.0,8.903829428444802e-13,0.002000123842045358,0.0,5.0
SPX,2026-03-06,1,2400,6897.45,CALL,0,0,0.999999999997743,6.573027375045192e-12,0.002000116411522637,-0.0,0.0
SPX,2026-03-06,1,2400,6897.45,PUT,1,11,-1.0,6.573027375045192e-12,0.002000116411522637,0.0,2.5
SPX,2026-03-06,1,2600,6897.45,CALL,0,0,1.0,-4.794209493407939e-12,0.002000121365204451,-0.0,0.0
SPX,2026-03-06,1,2600,6897.45,PUT,0,17,-1.0,-4.794209493407939e-12,0.002000121365204451,0.0,0.0
SPX,2026-03-06,1,2800,6897.45,CALL,1,1,0.9999999999987196,3.728812011891711e-12,0.0020001077425794616,-0.0,393920.0
SPX,2026-03-06,1,2800,6897.45,PUT,0,80,-1.0,3.728812011891711e-12,0.0020001077425794616,0.0,0.0
SPX,2026-03-06,1,3000,6897.45,CALL,1,0,1.0,-4.573422949796842e-12,0.0020000978352158333,-0.0,373920.0
SPX,2026-03-06,1,3000,6897.45,PUT,0,40,-1.0,-4.573422949796842e-12,0.0020000978352158333,0.0,0.0
SPX,2026-03-06,1,3200,6897.45,CALL,0,0,0.9999999999999533,1.360361305782787e-13,0.001999942975628878,-0.0,0.0
SPX,2026-03-06,1,3200,6897.45,PUT,0,381,-1.0,1.360361305782787e-13,0.001999942975628878,0.0,0.0
SPX,2026-03-06,1,3400,6897.45,CALL,0,5,0.9999999999980357,5.720735598478156e-12,0.001999942975628878,-0.0,0.0
SPX,2026-03-06,1,3400,6897.45,PUT,0,387,-1.0,5.720735598478156e-12,0.001999942975628878,0.0,0.0
SPX,2026-03-06,1,3600,6897.45,CALL,0,3,1.0,-2.54284093107068e-12,0.00199994421528912,-0.0,0.0
SPX,2026-03-06,1,3600,6897.45,PUT,0,139,-1.0,-2.54284093107068e-12,0.00199994421528912,0.0,0.0
SPX,2026-03-06,1,3800,6897.45,CALL,0,1,1.0,-5.335190665020619e-12,0.0019999417359686366,-0.0,0.0
SPX,2026-03-06,1,3800,6897.45,PUT,0,328,-1.0,-5.335190665020619e-12,0.0019999417359686366,0.0,0.0
SPX,2026-03-06,1,4000,6897.45,CALL,1,1,0.9999999999999533,1.360361305782787e-13,0.0019999479342698453,-0.0,273940.0
SPX,2026-03-06,1,4000,6897.45,PUT,0,10429,-1.0,1.360361305782787e-13,0.0019999479342698453,0.0,0.0
SPX,2026-03-06,1,4200,6897.45,CALL,0,1,1.0,-5.3919270011711095e-12,0.0019999466946096036,-0.0,0.0
SPX,2026-03-06,1,4200,6897.45,PUT,0,2262,-1.0,-5.3919270011711095e-12,0.0019999466946096036,0.0,0.0
SPX,2026-03-06,1,4400,6897.45,CALL,1,2,0.9999999999999338,1.927724667287684e-13,0.001999949173930087,-0.0,233885.00000000003
SPX,2026-03-06,1,4400,6897.45,PUT,0,6176,-1.0,1.927724667287684e-13,0.001999949173930087,0.0,0.0
SPX,2026-03-06,1,4600,6897.45,CALL,4,5,0.999999999997097,8.454399031379594e-12,0.0019999516532505706,-0.0,855700.0
