symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-03-13,1,2000,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,2000,6842.4,PUT,0,0,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,2200,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,2200,6842.4,PUT,0,3,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,2400,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,2400,6842.4,PUT,0,0,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,2600,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,2600,6842.4,PUT,0,29,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,2800,6842.4,CALL,2,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,785270.0000000001
SPX,2026-03-13,1,2800,6842.4,PUT,0,73,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,3000,6842.4,CALL,0,2,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,3000,6842.4,PUT,0,1022,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,3200,6842.4,CALL,0,2,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,3200,6842.4,PUT,0,1396,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,3400,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,3400,6842.4,PUT,0,1495,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,3600,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,3600,6842.4,PUT,0,1283,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,3800,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,3800,6842.4,PUT,0,1329,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,4000,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,4000,6842.4,PUT,0,4321,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,4200,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,4200,6842.4,PUT,0,8941,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,4400,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,4400,6842.4,PUT,0,3052,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,4600,6842.4,CALL,0,4,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,4600,6842.4,PUT,0,2899,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,4800,6842.4,CALL,1,2,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,192490.0
SPX,2026-03-13,1,4800,6842.4,PUT,1,11411,-1.0,-6.930453285411031e-13,0.002,0.0,2.5
SPX,2026-03-13,1,5000,6842.4,CALL,1,874,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,172490.0
SPX,2026-03-13,1,5000,6842.4,PUT,0,6174,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5100,6842.4,CALL,0,3,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5100,6842.4,PUT,0,1401,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5200,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5200,6842.4,PUT,0,6339,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5300,6842.4,CALL,0,20,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5300,6842.4,PUT,0,13372,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5400,6842.4,CALL,1,3,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,132580.00000000003
SPX,2026-03-13,1,5400,6842.4,PUT,0,7345,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5425,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5425,6842.4,PUT,0,446,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5450,6842.4,CALL,0,3,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5450,6842.4,PUT,0,7140,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5475,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5475,6842.4,PUT,0,365,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5500,6842.4,CALL,0,3,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5500,6842.4,PUT,0,5161,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5525,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5525,6842.4,PUT,0,272,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5550,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5550,6842.4,PUT,0,6864,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5575,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5575,6842.4,PUT,0,2362,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5600,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5600,6842.4,PUT,0,7755,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5625,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5625,6842.4,PUT,0,2464,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5650,6842.4,CALL,0,148,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5650,6842.4,PUT,0,63109,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5675,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5675,6842.4,PUT,0,8700,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5700,6842.4,CALL,0,100,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5700,6842.4,PUT,0,14879,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5725,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5725,6842.4,PUT,0,3744,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5750,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5750,6842.4,PUT,0,47698,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5775,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5775,6842.4,PUT,0,7689,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5800,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5800,6842.4,PUT,0,4261,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5825,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5825,6842.4,PUT,0,3320,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5850,6842.4,CALL,0,180,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5850,6842.4,PUT,1,1505,-1.0,-6.930453285411031e-13,0.002,0.0,2.5
SPX,2026-03-13,1,5875,6842.4,CALL,0,1,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5875,6842.4,PUT,0,1020,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5900,6842.4,CALL,0,4,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5900,6842.4,PUT,0,3988,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5925,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5925,6842.4,PUT,2,1484,-1.0,-6.930453285411031e-13,0.002,0.0,5.0
SPX,2026-03-13,1,5930,6842.4,CALL,0,5,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5930,6842.4,PUT,0,63,-1.0,-6.930453285411031e-13,0.002,0.0,0.0
SPX,2026-03-13,1,5940,6842.4,CALL,0,0,0.999999999999846,-6.930453285411031e-13,0.002,-0.0,0.0
SPX,2026-03-13,1,5940,6842.4,PUT,1,311,-1.0,-6.930453285411031e-13,0.002,0.0,2.5
