symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPY,2026-03-11,1,500.0,681.24,CALL,0,0,0.9999999999999909,9.789642791413891e-13,0.001999999473714235,-0.0,0.0
SPY,2026-03-11,1,500.0,681.24,PUT,0,517,-9.103828801926284e-15,9.789642791413891e-13,0.001999999473714235,0.0,0.0
SPY,2026-03-11,1,505.0,681.24,CALL,0,0,1.0,-5.1838935573085225e-12,0.0019999998015698263,-0.0,0.0
SPY,2026-03-11,1,505.0,681.24,PUT,0,418,0.0,-5.1838935573085225e-12,0.0019999998015698263,0.0,0.0
SPY,2026-03-11,1,510.0,681.24,CALL,0,0,1.0,-3.4194411465963385e-12,0.0019999996692830445,-0.0,0.0
SPY,2026-03-11,1,510.0,681.24,PUT,0,87,0.0,-3.4194411465963385e-12,0.0019999996692830445,0.0,0.0
SPY,2026-03-11,1,515.0,681.24,CALL,0,0,1.0,-2.2436535517276843e-12,0.0019999998015698263,-0.0,0.0
SPY,2026-03-11,1,515.0,681.24,PUT,0,93,0.0,-2.2436535517276843e-12,0.0019999998015698263,0.0,0.0
SPY,2026-03-11,1,520.0,681.24,CALL,0,0,1.0,-2.264522239298859e-12,0.002000000872294401,-0.0,0.0
SPY,2026-03-11,1,520.0,681.24,PUT,0,549,0.0,-2.264522239298859e-12,0.002000000872294401,0.0,0.0
SPY,2026-03-11,1,525.0,681.24,CALL,0,0,1.0,-2.264522239298859e-12,0.0020000009369088006,-0.0,0.0
SPY,2026-03-11,1,525.0,681.24,PUT,0,3115,0.0,-2.264522239298859e-12,0.0020000009369088006,0.0,0.0
SPY,2026-03-11,1,530.0,681.24,CALL,0,0,1.0,-3.363406783529771e-14,0.002000000969216001,-0.0,0.0
SPY,2026-03-11,1,530.0,681.24,PUT,0,313,0.0,-3.363406783529771e-14,0.002000000969216001,0.0,0.0
SPY,2026-03-11,1,535.0,681.24,CALL,0,0,1.0,-1.1508312816976154e-12,0.002000001001523201,-0.0,0.0
SPY,2026-03-11,1,535.0,681.24,PUT,0,581,0.0,-1.1508312816976154e-12,0.002000001001523201,0.0,0.0
SPY,2026-03-11,1,540.0,681.24,CALL,0,0,1.0,-1.1508312816976154e-12,0.002000000969216001,-0.0,0.0
SPY,2026-03-11,1,540.0,681.24,PUT,0,954,0.0,-1.1508312816976154e-12,0.002000000969216001,0.0,0.0
SPY,2026-03-11,1,545.0,681.24,CALL,0,0,1.0,-2.8408467995354057e-12,0.002000001001523201,-0.0,0.0
SPY,2026-03-11,1,545.0,681.24,PUT,0,307,0.0,-2.8408467995354057e-12,0.002000001001523201,0.0,0.0
SPY,2026-03-11,1,550.0,681.24,CALL,0,0,1.0,-1.5237376318406463e-12,0.0019999993766289543,-0.0,0.0
SPY,2026-03-11,1,550.0,681.24,PUT,0,348,0.0,-1.5237376318406463e-12,0.0019999993766289543,0.0,0.0
