symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,500,687.0,CALL,35,35,0,0,0.0
SPY,,1,500,687.0,PUT,0,151,0,0,0.0
SPY,,1,505,687.0,CALL,0,0,0,0,0.0
SPY,,1,505,687.0,PUT,0,0,0,0,0.0
SPY,,1,510,687.0,CALL,0,0,0,0,0.0
SPY,,1,510,687.0,PUT,0,100,0,0,0.0
SPY,,1,515,687.0,CALL,0,0,0,0,0.0
SPY,,1,515,687.0,PUT,0,64,0,0,0.0
SPY,,1,520,687.0,CALL,0,0,0,0,0.0
SPY,,1,520,687.0,PUT,0,239,0,0,0.0
SPY,,1,525,687.0,CALL,0,0,0,0,0.0
SPY,,1,525,687.0,PUT,0,0,0,0,0.0
SPY,,1,530,687.0,CALL,0,0,0,0,0.0
SPY,,1,530,687.0,PUT,0,1,0,0,0.0
SPY,,1,535,687.0,CALL,0,0,0,0,0.0
SPY,,1,535,687.0,PUT,0,0,0,0,0.0
SPY,,1,540,687.0,CALL,0,0,0,0,0.0
SPY,,1,540,687.0,PUT,0,3,0,0,0.0
SPY,,1,545,687.0,CALL,0,0,0,0,0.0
SPY,,1,545,687.0,PUT,0,30,0,0,0.0
SPY,,1,550,687.0,CALL,0,0,0,0,0.0
SPY,,1,550,687.0,PUT,0,56,0,0,0.0
SPY,,1,555,687.0,CALL,0,0,0,0,0.0
SPY,,1,555,687.0,PUT,0,50,0,0,0.0
SPY,,1,560,687.0,CALL,0,0,0,0,0.0
SPY,,1,560,687.0,PUT,0,983,0,0,0.0
SPY,,1,565,687.0,CALL,0,0,0,0,0.0
SPY,,1,565,687.0,PUT,0,44,0,0,0.0
SPY,,1,570,687.0,CALL,0,0,0,0,0.0
SPY,,1,570,687.0,PUT,0,53,0,0,0.0
SPY,,1,575,687.0,CALL,0,0,0,0,0.0
SPY,,1,575,687.0,PUT,0,201,0,0,0.0
SPY,,1,580,687.0,CALL,0,0,0,0,0.0
SPY,,1,580,687.0,PUT,0,22,0,0,0.0
SPY,,1,585,687.0,CALL,0,0,0,0,0.0
SPY,,1,585,687.0,PUT,0,1438,0,0,0.0
SPY,,1,590,687.0,CALL,0,0,0,0,0.0
SPY,,1,590,687.0,PUT,0,367,0,0,0.0
SPY,,1,595,687.0,CALL,0,1,0,0,0.0
SPY,,1,595,687.0,PUT,0,159,0,0,0.0
SPY,,1,600,687.0,CALL,46,0,0,0,0.0
SPY,,1,600,687.0,PUT,0,522,0,0,0.0
SPY,,1,605,687.0,CALL,0,1,0,0,0.0
SPY,,1,605,687.0,PUT,0,230,0,0,0.0
SPY,,1,610,687.0,CALL,0,0,0,0,0.0
SPY,,1,610,687.0,PUT,90,483,0,0,0.0
SPY,,1,615,687.0,CALL,20,36,0,0,0.0
SPY,,1,615,687.0,PUT,0,1316,0,0,0.0
SPY,,1,620,687.0,CALL,15,31,0,0,0.0
SPY,,1,620,687.0,PUT,0,1389,0,0,0.0
SPY,,1,625,687.0,CALL,0,1,0,0,0.0
SPY,,1,625,687.0,PUT,1,3229,0,0,0.0
SPY,,1,630,687.0,CALL,21,10,0,0,0.0
SPY,,1,630,687.0,PUT,1,1546,0,0,0.0
SPY,,1,635,687.0,CALL,0,13,0,0,0.0
SPY,,1,635,687.0,PUT,2,664,0,0,0.0
SPY,,1,640,687.0,CALL,6,2,0,0,0.0
SPY,,1,640,687.0,PUT,1,1102,0,0,0.0
SPY,,1,645,687.0,CALL,0,17,0,0,0.0
SPY,,1,645,687.0,PUT,11,3871,0,0,0.0
SPY,,1,650,687.0,CALL,53,44,0,0,0.0
SPY,,1,650,687.0,PUT,12,3486,0,0,0.0
SPY,,1,651,687.0,CALL,4,8,0,0,0.0
SPY,,1,651,687.0,PUT,0,2260,0,0,0.0
SPY,,1,652,687.0,CALL,1,0,0,0,0.0
SPY,,1,652,687.0,PUT,3,910,0,0,0.0
SPY,,1,653,687.0,CALL,0,0,0,0,0.0
SPY,,1,653,687.0,PUT,0,545,0,0,0.0
SPY,,1,654,687.0,CALL,0,0,0,0,0.0
SPY,,1,654,687.0,PUT,0,569,0,0,0.0
SPY,,1,655,687.0,CALL,107,388,0,0,0.0
SPY,,1,655,687.0,PUT,18,2230,0,0,0.0
SPY,,1,656,687.0,CALL,0,1,0,0,0.0
SPY,,1,656,687.0,PUT,106,347,0,0,0.0
SPY,,1,657,687.0,CALL,0,3,0,0,0.0
SPY,,1,657,687.0,PUT,214,588,0,0,0.0
SPY,,1,658,687.0,CALL,0,27,0,0,0.0
SPY,,1,658,687.0,PUT,212,204,0,0,0.0
SPY,,1,659,687.0,CALL,33,71,0,0,0.0
SPY,,1,659,687.0,PUT,945,538,0,0,0.0
SPY,,1,660,687.0,CALL,267,622,0,0,0.0
SPY,,1,660,687.0,PUT,8232,5517,0,0,0.0
SPY,,1,661,687.0,CALL,0,331,0,0,0.0
SPY,,1,661,687.0,PUT,10,742,0,0,0.0
SPY,,1,662,687.0,CALL,27,198,0,0,0.0
SPY,,1,662,687.0,PUT,58,221,0,0,0.0
SPY,,1,663,687.0,CALL,0,42,0,0,0.0
SPY,,1,663,687.0,PUT,2190,143,0,0,0.0
SPY,,1,664,687.0,CALL,0,10,0,0,0.0
SPY,,1,664,687.0,PUT,195,1190,0,0,0.0
SPY,,1,665,687.0,CALL,41,146,0,0,0.0
SPY,,1,665,687.0,PUT,1447,1966,0,0,0.0
SPY,,1,666,687.0,CALL,31,201,0,0,0.0
SPY,,1,666,687.0,PUT,1010,1363,0,0,0.0
SPY,,1,667,687.0,CALL,1,2,0,0,0.0
SPY,,1,667,687.0,PUT,1108,472,0,0,0.0
SPY,,1,668,687.0,CALL,2,3,0,0,0.0
SPY,,1,668,687.0,PUT,622,737,0,0,0.0
