symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,500,683.6,CALL,0,2,0,0,0.0
SPY,,1,500,683.6,PUT,0,414,0,0,0.0
SPY,,1,505,683.6,CALL,0,0,0,0,0.0
SPY,,1,505,683.6,PUT,0,105,0,0,0.0
SPY,,1,510,683.6,CALL,1,0,0,0,0.0
SPY,,1,510,683.6,PUT,0,40,0,0,0.0
SPY,,1,515,683.6,CALL,5,6,0,0,0.0
SPY,,1,515,683.6,PUT,0,94,0,0,0.0
SPY,,1,520,683.6,CALL,0,0,0,0,0.0
SPY,,1,520,683.6,PUT,0,52,0,0,0.0
SPY,,1,525,683.6,CALL,4,1,0,0,0.0
SPY,,1,525,683.6,PUT,0,146,0,0,0.0
SPY,,1,530,683.6,CALL,3,0,0,0,0.0
SPY,,1,530,683.6,PUT,0,364,0,0,0.0
SPY,,1,535,683.6,CALL,0,0,0,0,0.0
SPY,,1,535,683.6,PUT,0,299,0,0,0.0
SPY,,1,540,683.6,CALL,0,0,0,0,0.0
SPY,,1,540,683.6,PUT,0,45,0,0,0.0
SPY,,1,545,683.6,CALL,0,0,0,0,0.0
SPY,,1,545,683.6,PUT,0,14,0,0,0.0
SPY,,1,550,683.6,CALL,0,0,0,0,0.0
SPY,,1,550,683.6,PUT,0,1588,0,0,0.0
SPY,,1,555,683.6,CALL,0,2,0,0,0.0
SPY,,1,555,683.6,PUT,0,258,0,0,0.0
SPY,,1,560,683.6,CALL,2,2,0,0,0.0
SPY,,1,560,683.6,PUT,0,81,0,0,0.0
SPY,,1,565,683.6,CALL,0,0,0,0,0.0
SPY,,1,565,683.6,PUT,2,378,0,0,0.0
SPY,,1,570,683.6,CALL,5,0,0,0,0.0
SPY,,1,570,683.6,PUT,2,393,0,0,0.0
SPY,,1,575,683.6,CALL,0,0,0,0,0.0
SPY,,1,575,683.6,PUT,0,270,0,0,0.0
SPY,,1,580,683.6,CALL,10,0,0,0,0.0
SPY,,1,580,683.6,PUT,0,569,0,0,0.0
SPY,,1,585,683.6,CALL,4,5,0,0,0.0
SPY,,1,585,683.6,PUT,0,361,0,0,0.0
SPY,,1,590,683.6,CALL,20,20,0,0,0.0
SPY,,1,590,683.6,PUT,0,372,0,0,0.0
SPY,,1,595,683.6,CALL,1,1,0,0,0.0
SPY,,1,595,683.6,PUT,0,810,0,0,0.0
SPY,,1,600,683.6,CALL,0,0,0,0,0.0
SPY,,1,600,683.6,PUT,0,1245,0,0,0.0
SPY,,1,605,683.6,CALL,2,2,0,0,0.0
SPY,,1,605,683.6,PUT,0,1612,0,0,0.0
SPY,,1,610,683.6,CALL,3,0,0,0,0.0
SPY,,1,610,683.6,PUT,89,1968,0,0,0.0
SPY,,1,615,683.6,CALL,18,1,0,0,0.0
SPY,,1,615,683.6,PUT,0,568,0,0,0.0
